,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05
bot-gradle,0,0,19,162,164,233,261,254,278,263,190,148,182,175,190,310,330,300,427,324,442,408,453,390,324,305,350,369,314,289,318,461,775,350,496,623,471,438,718,475,359,390,498,339,452,337,285,326,311,435,445,258,4
tresat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,57,57,100,48,83,37,19,35,35,96,47,137,182,135,122,96,169,81,181,134,61,167,103,81,212,141,165,101,139,128,64,126,0
jvandort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,48,24,60,115,63,106,135,117,77,155,92,64,119,83,82,208,78,118,56,114,109,69,52,0
lkasso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,85,69,71,38,19,99,58,96,85,56,75,24,0
bamboo,27,13,53,59,78,91,67,58,51,110,31,48,36,35,23,18,26,22,40,26,10,30,36,63,52,25,46,70,48,39,32,60,155,58,111,117,30,78,168,38,21,48,117,74,52,25,18,96,67,15,46,80,0
asodja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,1,0,0,44,38,127,81,91,82,50,26,11,34,53,69,33,15,53,71,89,60,31,82,36,43,59,33,82,50,42,15,76,65,76,69,0
gitstream-cm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,25,124,132,105,94,78,0,0,0,0,0,0
lptr,93,99,150,137,202,122,152,217,213,185,203,124,93,74,65,35,67,190,123,54,166,72,199,48,140,104,48,41,45,54,30,60,130,46,77,54,53,61,50,58,86,49,52,19,62,36,26,46,44,57,83,67,0
alllex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,60,129,68,61,19,54,10,38,80,34,16,30,65,22,62,42,56,115,34,0,48,34,0
blindpirate,10,33,37,58,67,74,102,47,129,57,30,20,10,23,63,48,93,95,130,53,72,76,137,52,52,55,95,96,78,62,72,90,74,62,102,61,66,60,28,22,52,38,55,49,56,39,30,48,73,53,27,37,1
big-guy,49,41,26,63,37,2,12,9,32,22,27,4,13,21,24,15,43,29,81,101,223,78,102,40,58,85,86,33,24,91,50,139,59,100,113,48,50,61,34,49,24,91,67,26,58,33,44,58,48,21,17,36,0
wolfs,105,135,177,141,178,129,174,145,259,205,203,121,95,164,179,108,157,170,168,130,269,113,339,134,185,160,142,114,126,115,139,186,103,95,97,60,48,66,103,64,174,86,69,20,32,31,13,47,22,81,28,47,0
eskatos,24,14,71,95,85,82,75,6,63,107,25,52,47,46,24,30,24,23,26,0,31,29,42,26,25,30,20,20,43,65,32,10,66,44,35,113,162,121,137,108,25,69,61,41,59,70,23,12,9,34,9,13,0
donat,1,9,7,41,54,7,16,67,15,37,31,25,42,42,21,82,50,46,21,44,23,40,39,19,37,31,33,14,28,7,13,14,49,7,4,19,15,22,43,24,9,42,10,35,32,39,43,49,26,49,51,11,2
mlopatkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,25,4,11,17,9,37,10,0,11,43,8,20,9,23,23,34,61,41,38,48,83,24,2,23,34,45,21,11,7,19,40,45,37,62,0
abstratt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,41,59,125,27,48,19,16,28,66,11,5,22,10,37,37,10,35,55,34,36,19,36,0
ljacomet,34,5,57,99,61,66,54,59,147,53,73,42,46,72,49,12,22,33,61,21,75,67,74,108,32,35,52,70,18,50,18,37,128,62,34,103,47,57,79,40,35,53,79,9,29,11,33,12,38,29,13,13,0
hegyibalint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,46,22,17,9,0,16,15,7,8,5,22,5,29,14,32,66,14,89,19,3,24,34,3,35,10,12,0
runningcode,0,0,0,2,8,3,3,5,27,0,0,1,14,26,12,14,33,12,10,10,16,28,14,0,17,47,18,49,19,3,22,26,20,30,33,37,98,74,19,23,41,24,10,46,9,13,27,9,23,25,83,24,0
ov7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,20,20,4,26,15,34,20,6,21,42,43,34,47,0
ghale,0,0,1,5,14,7,4,5,5,17,30,3,16,21,6,1,11,36,48,9,0,3,5,5,12,10,23,16,0,16,3,3,16,11,29,52,34,41,36,39,19,17,50,12,22,6,10,20,26,21,8,37,0
bigdaz,0,0,0,1,1,0,0,0,6,0,1,0,20,6,12,1,1,1,11,0,5,6,24,11,7,0,5,15,2,14,2,3,0,1,0,0,0,7,11,38,2,8,15,14,73,9,3,2,44,14,16,25,0
reinsch82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,15,37,35,6,4,4,15,11,16,28,25,16,29,24,44,0
octylFractal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,30,34,16,38,19,46,21,7,24,7,47,47,23,27,14,14,8,12,32,11,7,26,11,31,23,17,10,35,26,17,6,0
6hundreds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,37,38,18,16,20,27,16,12,21,18,4,21,12,10,23,20,3,17,12,0
adammurdoch,8,10,16,8,33,43,15,10,7,3,2,3,0,0,1,5,9,10,7,8,2,19,10,15,3,5,10,6,6,3,13,21,15,6,24,23,9,5,6,6,22,3,1,2,4,4,12,30,18,26,19,38,0
cobexer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,44,18,4,35,25,7,18,1
pshevche (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,7,4,0,1,0,9,5,1,0,19,10,1,4,80,23,0
jbartok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,13,7,33,2,11,8,34,18,5,9,1,6,62,34,47,39,18,20,45,38,39,13,21,8,30,28,3,4,4,21,4,9,0
jprinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,8,7,19,7,23,17,0,8,1,10,17,18,9,24,26,20,9,1,10,7,10,38,8,4,1,13,7,20,9,0
erichaagdev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,34,50,30,5,84,103,6,0,0,9,9,17,6,6,11,2,52,5,0
h0tk3y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,23,1,33,36,18,20,5,2,28,31,2,24,23,4,21,5,4,0,0,4,14,17,0
welandaz (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,4,0,0,0,1,0,1,0,6,3,9,7,24,18,0
alextu (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,0,6,20,12,5,0,1,13,7,1,10,1,3,14,0,1,0,3,6,0,0,5,1,1,1,2,6,32,13,0
github-actions (new),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,148,0,17,3,0,2,0,1,9,0,4,14,8,11,14,3,10,6,7,7,18,10,19,10,0,3,0,0,0,0,0,0
etiennestuder (churned),0,0,0,0,2,6,1,6,26,1,0,0,50,14,1,29,8,38,14,12,2,15,28,2,14,65,47,52,27,19,25,10,8,57,45,17,3,4,158,130,2,12,7,23,4,1,3,0,0,4,0,1,0
tylerbertrand (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,42,2,0,6,5,0,3,11,0,0,2,1,2,0
JLLeitschuh (churned),10,7,9,11,0,9,6,16,60,37,111,47,25,26,26,8,4,0,0,0,5,4,46,30,2,0,8,1,0,1,0,0,0,0,0,0,1,3,9,37,8,4,10,6,0,0,2,1,10,6,0,0,0
jthurne (churned),0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,11,21,19,0,0,0,1,1,1,0,6,13,1,20,17,0,3,65,5,5,28,3,52,11,5,12,1,0,0,0,0,0,2,2,0,2,0
